date,Tmax,Tmean,RH_mean,HI_max,WBGT_max,heat_severity,temperature_score,heat_index_score,wbgt_score,heat_risk_score,risk_category,heat_streak,mortality_RR
2018-06-21,41.3,33.795833333333334,51.708333333333336,43.654099469111216,32.66014448824707,37.05772648059273,75,75,75,75.0,EXTREME,1,1.289
2018-06-22,40.4,33.575,53.208333333333336,44.39593920291559,33.21964338703588,37.690161713387766,75,75,75,75.0,EXTREME,2,1.267
2018-06-23,39.7,33.85,53.583333333333336,44.860764807617855,33.034422734338364,37.76495956365016,50,75,75,67.5,HIGH,0,1.25
2018-06-24,34.0,30.7125,67.5,39.441867661777856,29.035373442125604,33.197971129986506,25,50,50,42.5,MODERATE,0,1.121
2018-06-25,37.7,31.625,62.41666666666666,42.74527090449549,30.80442407645021,35.58076280766832,50,50,50,50.0,HIGH,0,1.203
2018-06-26,37.3,31.375,63.29166666666666,39.55874547913564,28.360311122938803,32.83968486541754,50,50,50,50.0,HIGH,0,1.194
2018-06-27,37.5,31.725,60.583333333333336,40.676934581944494,30.82806664973752,34.76761382262031,50,50,50,50.0,HIGH,0,1.198
2018-06-28,35.3,31.179166666666664,64.33333333333333,40.2883162555556,30.32444267607974,34.30999210787009,50,50,50,50.0,HIGH,0,1.149
2018-06-29,37.2,30.854166666666668,68.20833333333333,41.02679127023115,31.2040133721846,35.13312453140322,50,50,75,60.0,HIGH,0,1.192
2018-06-30,36.5,31.079166666666666,64.75,39.5468747913956,30.4888067923383,34.11203399196122,50,50,50,50.0,HIGH,0,1.176
2018-07-01,37.7,31.52916666666667,62.66666666666666,41.47716867483555,30.702878880976105,35.012594798519885,50,50,50,50.0,HIGH,0,1.203
2018-07-02,36.9,30.370833333333334,72.66666666666667,41.81343176599774,30.87694798665859,35.251541498394246,50,50,50,50.0,HIGH,0,1.185
2018-07-03,32.0,28.15,84.29166666666667,38.33335376355572,27.69741329200986,31.951789480628204,25,50,25,32.5,MODERATE,0,1.079
2018-07-04,31.0,28.3375,80.29166666666667,36.804242374095615,26.843819631254284,30.827988728390817,25,25,25,25.0,MODERATE,0,1.059
2018-07-05,36.0,30.425,68.41666666666667,40.620089649777896,30.07708707492506,34.2942881048662,50,50,50,50.0,HIGH,0,1.165
2018-07-06,35.7,30.7,67.45833333333333,40.43800889463115,30.275527694898827,34.34052017479176,50,50,50,50.0,HIGH,0,1.158
2018-07-07,35.0,30.9125,65.5,39.9103602111111,29.559937716939352,33.70010671460805,50,50,50,50.0,HIGH,0,1.143
